type,time,exchange,competitor,odds,backer,layer,stake
Trade,0.5108397006988525,0,0,3.962177149664986,2,7,15
Trade,0.5260779857635498,0,0,3.962177149664986,7,51,15
Trade,0.5593504905700684,0,0,3.962177149664986,1,2,15
Trade,0.769744873046875,0,0,2.962177149664986,7,1,15
Trade,0.8542304039001465,0,0,2.962177149664986,2,6,15
Trade,0.8732125759124756,0,0,2.962177149664986,2,7,15
Trade,1.055346965789795,0,0,3.962177149664986,6,7,15
Trade,1.14682936668396,0,0,4.962177149664986,53,6,15
Trade,1.43280029296875,0,0,3.962177149664986,1,2,15
Trade,1.4511134624481201,0,0,2.962177149664986,6,1,15
Trade,1.5066299438476562,0,0,4.96241286479138,53,7,15
Trade,1.674332857131958,0,0,3.9624128647913803,2,1,15
Trade,2.286621332168579,0,0,3.9624128647913803,7,2,15
Trade,2.4287943840026855,0,0,3.9624128647913803,1,6,15
Trade,2.5658161640167236,0,0,4.96241286479138,53,7,15
Trade,2.8903729915618896,0,0,3.9624128647913803,1,6,15
Trade,2.8907217979431152,0,0,3.9624128647913803,6,51,15
Trade,2.8913776874542236,0,0,3.9624128647913803,1,2,15
Trade,2.969956398010254,0,0,1.1,1,51,15
Trade,5.761941432952881,0,0,4.447480778263969,54,1,15
Trade,7.6415746212005615,0,0,5.447480778263969,7,56,15
Trade,7.683057069778442,0,0,5.447480778263969,1,55,15
Trade,7.766763925552368,0,0,5.447480778263969,1,56,15
Trade,7.976597785949707,0,0,5.447480778263969,2,55,15
Trade,8.446935176849365,0,0,2.6244200924045327,50,1,15
Trade,9.484128475189209,0,0,3.6244200924045327,6,56,15
Trade,9.92742395401001,0,0,5.447480778263969,1,56,15
Trade,10.030581712722778,0,0,5.447480778263969,7,55,15
Trade,11.733200073242188,0,0,5.447480778263969,2,55,15
Trade,11.795162200927734,0,0,5.447480778263969,1,56,15
Trade,11.831995487213135,0,0,5.447480778263969,6,55,15
Trade,11.952093601226807,0,0,5.447480778263969,2,56,15
Trade,11.963416576385498,0,0,5.447480778263969,1,55,15
Trade,12.244931936264038,0,0,5.447480778263969,6,56,15
Trade,14.204775094985962,0,0,5.447480778263969,7,55,15
Trade,14.395326852798462,0,0,5.447480778263969,2,56,15
Trade,17.281209230422974,0,0,5.447480778263969,6,56,15
Trade,17.28509783744812,0,0,5.447480778263969,6,55,15
Trade,17.334505081176758,0,0,5.447480778263969,6,58,15
Trade,18.210729837417603,0,0,5.447480778263969,1,59,15
Trade,19.72680115699768,0,0,5.447480778263969,2,59,15
Trade,19.732260704040527,0,0,5.447480778263969,6,57,15
Trade,19.74750590324402,0,0,5.447480778263969,7,56,15
Trade,20.05571150779724,0,0,5.547480778263969,1,58,15
Trade,23.69671368598938,0,0,6.447480778263969,7,6,15
Trade,28.02863073348999,0,0,6.447480778263969,1,56,15
Trade,28.113840579986572,0,0,6.447480778263969,2,57,15
Trade,28.150988578796387,0,0,6.447480778263969,7,56,15
